Class,Precision,Recall,F1-score
0,0.973630831643002,0.9795918367346939,0.9766022380467955
1,0.9757155247181266,0.9911894273127754,0.9833916083916083
2,0.9366471734892787,0.9312015503875969,0.933916423712342
3,0.9520958083832335,0.9445544554455445,0.9483101391650098
4,0.9598393574297188,0.9735234215885947,0.9666329625884731
5,0.9292817679558011,0.9428251121076233,0.9360044518642182
6,0.9748953974895398,0.9728601252609603,0.9738766980146291
7,0.970317297850563,0.9221789883268483,0.945635910224439
8,0.9524772497472194,0.9671457905544147,0.9597554763117676
9,0.9485148514851485,0.9494549058473737,0.9489846458642892
